id,displayName,type,website,logoPath,logoStatus,logoFormat,sourceUrl,notes
activtrades,ActivTrades,broker,https://www.activtrades.com,/Users/abdul/profitabledge/apps/web/public/brokers/activtrades.png,ready,PNG,existing,
adm-investor-services,ADM Investor Services,broker,https://www.admis.com,/Users/abdul/profitabledge/apps/web/public/brokers/adm-investor-services.png,ready,PNG,existing,
admirals,Admirals,broker,https://admiralmarkets.com,/Users/abdul/profitabledge/apps/web/public/brokers/admirals.png,ready,PNG,existing,
amp-futures,AMP Futures,broker,https://www.ampfutures.com,/Users/abdul/profitabledge/apps/web/public/brokers/amp-futures.png,ready,PNG,existing,
avatrade,AvaTrade,broker,https://www.avatrade.com,/Users/abdul/profitabledge/apps/web/public/brokers/avatrade.png,ready,PNG,existing,
axi,Axi,broker,https://www.axi.com,/Users/abdul/profitabledge/apps/web/public/brokers/axi.png,ready,PNG,existing,
backpack-exchange,Backpack Exchange,broker,https://backpack.exchange,/Users/abdul/profitabledge/apps/web/public/brokers/backpack-exchange.png,ready,PNG,existing,
binance,Binance,broker,https://www.binance.com,/Users/abdul/profitabledge/apps/web/public/brokers/binance.png,ready,PNG,existing,
bingx,BingX,broker,https://bingx.com,/Users/abdul/profitabledge/apps/web/public/brokers/bingx.png,ready,PNG,existing,
bitget,Bitget,broker,https://www.bitget.com,/Users/abdul/profitabledge/apps/web/public/brokers/bitget.png,ready,PNG,existing,
bitmex,BitMEX,broker,https://www.bitmex.com,/Users/abdul/profitabledge/apps/web/public/brokers/bitmex.png,ready,PNG,existing,
blackbull-markets,BlackBull Markets,broker,https://blackbull.com,/Users/abdul/profitabledge/apps/web/public/brokers/blackbull-markets.png,ready,PNG,existing,
btcc,BTCC,broker,https://www.btcc.com,/Users/abdul/profitabledge/apps/web/public/brokers/btcc.png,ready,PNG,existing,
btse,BTSE,broker,https://www.btse.com,/Users/abdul/profitabledge/apps/web/public/brokers/btse.png,ready,PNG,existing,
bybit,Bybit,broker,https://www.bybit.com,/Users/abdul/profitabledge/apps/web/public/brokers/bybit.png,ready,PNG,existing,
cannon-trading,Cannon Trading,broker,https://www.cannontrading.com,/Users/abdul/profitabledge/apps/web/public/brokers/cannon-trading.png,ready,PNG,existing,
capital-com,Capital.com,broker,https://capital.com,/Users/abdul/profitabledge/apps/web/public/brokers/capital-com.png,ready,PNG,existing,
charles-schwab,Charles Schwab,broker,https://www.schwab.com,/Users/abdul/profitabledge/apps/web/public/brokers/charles-schwab.png,ready,PNG,existing,
city-index,City Index,broker,https://www.cityindex.com,/Users/abdul/profitabledge/apps/web/public/brokers/city-index.png,ready,PNG,existing,
cmc-markets,CMC Markets,broker,https://www.cmcmarkets.com,/Users/abdul/profitabledge/apps/web/public/brokers/cmc-markets.png,ready,PNG,existing,
coinbase-derivatives,Coinbase Derivatives / International Exchange,broker,https://www.coinbase.com/international-exchange,/Users/abdul/profitabledge/apps/web/public/brokers/coinbase-derivatives.png,ready,PNG,existing,
coinex,CoinEx,broker,https://www.coinex.com,/Users/abdul/profitabledge/apps/web/public/brokers/coinex.png,ready,PNG,existing,
cqg,CQG,broker,https://www.cqg.com,/Users/abdul/profitabledge/apps/web/public/brokers/cqg.png,ready,PNG,existing,
crypto-com-exchange,Crypto.com Exchange,broker,https://crypto.com/exchange,/Users/abdul/profitabledge/apps/web/public/brokers/crypto-com-exchange.png,ready,PNG,existing,
daniels-trading,Daniels Trading,broker,https://www.danielstrading.com,/Users/abdul/profitabledge/apps/web/public/brokers/daniels-trading.png,ready,PNG,existing,
delta-exchange,Delta Exchange,broker,https://www.delta.exchange,/Users/abdul/profitabledge/apps/web/public/brokers/delta-exchange.png,ready,PNG,existing,
deribit,Deribit,broker,https://www.deribit.com,/Users/abdul/profitabledge/apps/web/public/brokers/deribit.png,ready,PNG,existing,
deriv,Deriv,broker,https://deriv.com,/Users/abdul/profitabledge/apps/web/public/brokers/deriv.png,ready,PNG,existing,
discount-trading,Discount Trading,broker,https://www.discounttrading.com,/Users/abdul/profitabledge/apps/web/public/brokers/discount-trading.png,ready,PNG,existing,
dorman-trading,Dorman Trading,broker,https://dormantrading.com,/Users/abdul/profitabledge/apps/web/public/brokers/dorman-trading.png,ready,PNG,existing,
